imdb_id,rating,score_count
8,0.5,4
8,1,4
8,1.5,3
8,2,3
8,2.5,3
8,3,2
8,4,1
8,5,2
12,0.5,3
12,1,4
12,2,6
12,2.5,2
12,3,22
12,3.5,12
12,4,15
12,5,6
192,2.5,1
192,3,2
192,4,1
192,5,1
417,0.5,10
417,1,12
417,1.5,11
417,2,14
417,2.5,25
417,3,112
417,3.5,121
417,4,218
417,4.5,93
417,5,107
439,0.5,4
439,1,4
439,1.5,2
439,2,8
439,2.5,7
439,3,30
439,3.5,44
439,4,22
439,4.5,9
439,5,10
1105,0.5,1
1105,3,6
1105,3.5,1
1105,4,2
1105,4.5,1
1223,0.5,1
1223,1,1
1223,2,2
1223,2.5,1
1223,3,12
1223,3.5,3
1223,4,6
1223,4.5,4
1223,5,1
1527,0.5,1
1527,1,1
1527,2,1
1527,2.5,2
1527,3,5
1527,3.5,9
1527,4,11
1527,4.5,2
1527,5,4
2461,3,1
2461,3.5,1
2844,0.5,1
2844,2.5,2
2844,3,4
2844,3.5,4
2844,4,2
2844,4.5,1
3014,0.5,1
3014,2.5,1
3014,3,1
3014,3.5,7
3014,4,1
3419,0.5,1
3419,2.5,2
3419,3,3
3419,3.5,5
3419,4,2
3489,2,2
3489,3,1
3643,2.5,2
3643,3,4
3643,3.5,1
3643,4,1
3643,4.5,1
3740,0.5,1
3740,1.5,1
3740,2,1
3740,2.5,3
3740,3,5
3740,3.5,5
3740,4,3
4066,2,1
4066,2.5,1
4066,3,1
4066,4.5,1
4101,0.5,2
4101,1.5,1
4101,2,1
4101,2.5,2
4101,3.5,2
4101,4,1
4134,3,3
4134,3.5,1
4134,5,1
4181,3,4
4181,3.5,2
4181,4,1
4277,0.5,2
4277,2.5,3
4277,3,3
4465,1,1
4465,2,1
4465,3,3
4465,3.5,1
4635,3,2
4635,3.5,1
4707,0.5,2
4707,1,1
4707,2,1
4707,2.5,1
4707,3,5
4707,3.5,10
4707,4,2
4707,4.5,1
4936,0.5,2
4936,1,1
4936,3,5
4936,3.5,2
4936,5,1
4972,0.5,33
4972,1,18
4972,1.5,20
4972,2,29
4972,2.5,39
4972,3,58
4972,3.5,68
4972,4,83
4972,4.5,39
4972,5,33
5074,0.5,2
5074,2,2
5074,2.5,1
5074,3,4
5074,3.5,5
5074,4,3
5074,4.5,2
5074,5,2
5078,0.5,1
5078,1.5,1
5078,3,5
5078,3.5,3
5078,4,3
5529,1.5,1
5529,3,1
5529,3.5,1
5542,0.5,2
5542,2,1
5542,2.5,4
5542,3,2
5542,3.5,1
5542,4,1
5571,0.5,2
5571,1,1
5571,2.5,2
5571,3,1
5810,0.5,2
5810,1,1
5810,2.5,2
5810,3,4
5810,3.5,3
5960,1.5,1
5960,2.5,1
5960,3,3
5960,3.5,3
5960,5,2
6032,0.5,2
6032,2.5,1
6032,3,1
6032,3.5,2
6032,4,1
6206,0.5,1
6206,1.5,1
6206,2,2
6206,2.5,1
6206,3,6
6206,3.5,9
6206,4,11
6206,5,5
6333,0.5,4
6333,1,1
6333,1.5,3
6333,2,5
6333,2.5,6
6333,3,10
6333,3.5,15
6333,4,11
6333,4.5,8
6333,5,3
6684,0.5,3
6684,2,1
6684,2.5,1
6684,3,4
6684,3.5,3
6684,4,3
6684,5,1
6745,2.5,1
6745,3,2
6780,2.5,1
6780,3,2
6780,4,2
6826,2.5,1
6826,3,1
6826,3.5,1
6864,0.5,9
6864,1,6
6864,1.5,4
6864,2,10
6864,2.5,14
6864,3,25
6864,3.5,42
6864,4,54
6864,4.5,30
6864,5,42
6886,3,1
6886,3.5,1
6886,4,1
7145,0.5,2
7145,1.5,1
7145,2,2
7145,2.5,3
